labels,path,dataset,Gender,predicted_labels
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d11.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d13.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a11.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a06.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n16.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d04.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su13.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa08.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n08.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n18.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h01.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f11.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d07.wav,SAVEE,m,disgust
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su12.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a06.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa11.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n12.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n03.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n14.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa01.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h13.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su14.wav,SAVEE,m,surprise
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d03.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su10.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n19.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su03.wav,SAVEE,m,surprise
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su13.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a04.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a03.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f11.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d02.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a07.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n19.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f09.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su06.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su01.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h11.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa02.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n19.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su10.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n20.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d07.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n28.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f13.wav,SAVEE,m,surprise
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f05.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f10.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h04.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f14.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f15.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su06.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n04.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a07.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d10.wav,SAVEE,m,disgust
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h04.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d15.wav,SAVEE,m,sad
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f12.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa07.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n27.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d06.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a03.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n01.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su06.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f02.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f10.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su04.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n21.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h08.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f14.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n21.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su11.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa15.wav,SAVEE,m,sad
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d13.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a01.wav,SAVEE,m,disgust
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h05.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f10.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d08.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a10.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f04.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n26.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d08.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d06.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa11.wav,SAVEE,m,sad
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa04.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n28.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n05.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h15.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d03.wav,SAVEE,m,disgust
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa14.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h03.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su11.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d07.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa14.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n11.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n07.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa05.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n25.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d01.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n11.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f14.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n14.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n12.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa10.wav,SAVEE,m,sad
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a05.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f06.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h06.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d14.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n17.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a04.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n08.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n02.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f09.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f09.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h12.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n06.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n12.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a09.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a14.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n13.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h08.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa06.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n15.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h13.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n30.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa08.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h07.wav,SAVEE,m,happy
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a07.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d12.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d13.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d09.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a15.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f11.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su03.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n07.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f13.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su14.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h01.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f13.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n07.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a15.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f12.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f05.wav,SAVEE,m,fear
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a05.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa09.wav,SAVEE,m,sad
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d15.wav,SAVEE,m,happy
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h09.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f07.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d05.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a10.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n04.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n21.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f05.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a01.wav,SAVEE,m,angry
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h03.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n15.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa13.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h04.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n25.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su09.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a12.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa12.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n11.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n15.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su12.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa09.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n22.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f06.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su07.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n10.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a14.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d05.wav,SAVEE,m,disgust
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n21.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n06.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n02.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a04.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n28.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa11.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a01.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa10.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su11.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h06.wav,SAVEE,m,disgust
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h01.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa03.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a02.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d13.wav,SAVEE,m,disgust
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su04.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n02.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n18.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d02.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d06.wav,SAVEE,m,sad
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa05.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa02.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a14.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d11.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n10.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a08.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su09.wav,SAVEE,m,surprise
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d03.wav,SAVEE,m,disgust
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa08.wav,SAVEE,m,sad
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su10.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n15.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h12.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa14.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa12.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f15.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n06.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d08.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a08.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n03.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a13.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa01.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n28.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d14.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f10.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n19.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa11.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n25.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su01.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n29.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa14.wav,SAVEE,m,sad
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su05.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa15.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa04.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a11.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n09.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su10.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h07.wav,SAVEE,m,happy
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a09.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n23.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su02.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n18.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa04.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su14.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n26.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n02.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a09.wav,SAVEE,m,angry
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h14.wav,SAVEE,m,happy
